restaurant_name,food_quality_avg,food_quality_polarity,food_quality_review_count,service_avg,service_polarity,service_review_count,ambiance_avg,ambiance_polarity,ambiance_review_count,price_value_avg,price_value_polarity,price_value_review_count,overall_score,overall_polarity,total_reviews,aspects_scored
1128 Tea and Cafe -Rawis Branch,5.0,Positive,1,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,1,1
AndEk's Krispy Fried Chicken Kiosk,5.0,Positive,2,5.0,Positive,1,,N/A,0,5.0,Positive,1,5.0,Positive,3,3
Carbon Cafe,5.0,Positive,1,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,1,2
Brew Print Cafe,4.9999,Positive,1,5.0,Positive,1,4.9999,Positive,1,5.0,Positive,1,5.0,Positive,1,4
Brew Vroom Cafe,4.9999,Positive,6,5.0,Positive,4,5.0,Positive,3,,N/A,0,5.0,Positive,7,3
Brewed Espressions Coffee Shop,5.0,Positive,1,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,2,1
Burugtian,5.0,Positive,1,5.0,Positive,1,,N/A,0,,N/A,0,5.0,Positive,1,2
Caffé Kat,4.9999,Positive,3,5.0,Positive,2,5.0,Positive,2,5.0,Positive,2,5.0,Positive,3,4
Borsigue Food House,5.0,Positive,1,5.0,Positive,1,,N/A,0,5.0,Positive,1,5.0,Positive,1,3
Arf's Cafe & Bechayda's Transient House,5.0,Positive,1,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,1,1
Anti Gutom Snackstop,5.0,Positive,2,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,2,2
Cafe Pia,5.0,Positive,2,5.0,Positive,1,,N/A,0,5.0,Positive,1,5.0,Positive,2,3
Migoy's Burger Albay,5.0,Positive,1,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,1,1
Mr. HeBrews Cafe,5.0,Positive,30,4.9998,Positive,17,5.0,Positive,21,5.0,Positive,5,5.0,Positive,40,4
Pablo's,5.0,Positive,3,,N/A,0,,N/A,0,5.0,Positive,1,5.0,Positive,4,2
"Papaloy's Silog, Mami ATBP",5.0,Positive,1,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,1,2
Pod1um Restobar,5.0,Positive,1,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,1,2
Quinn Maye Lomi House,5.0,Positive,2,,N/A,0,5.0,Positive,1,5.0,Positive,1,5.0,Positive,3,3
Ponce's Café,5.0,Positive,2,4.9999,Positive,1,,N/A,0,5.0,Positive,1,5.0,Positive,3,3
SUGBA'T SABAW,5.0,Positive,2,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,2,1
STEAK ESCAPE,4.9999,Positive,3,5.0,Positive,1,5.0,Positive,1,5.0,Positive,1,5.0,Positive,3,4
Sebastian's Sizzling House - University Homes,5.0,Positive,5,5.0,Positive,1,5.0,Positive,1,,N/A,0,5.0,Positive,5,3
Salbaheng Siram - Lechon Belly House,5.0,Positive,10,4.9999,Positive,3,5.0,Positive,5,5.0,Positive,4,5.0,Positive,10,4
Rafabel's Café and Patisserie,5.0,Positive,1,5.0,Positive,2,,N/A,0,,N/A,0,5.0,Positive,2,2
Si Bening Eleven,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,1,5.0,Positive,1,1
Shot Tea Cafe Ph,5.0,Positive,4,4.9999,Positive,3,5.0,Positive,1,,N/A,0,5.0,Positive,4,3
Sebastián & romyeall 04,,N/A,0,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,1,1
Taragay-Z,5.0,Positive,1,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,1,2
Tiny Cafe,5.0,Positive,2,,N/A,0,5.0,Positive,2,,N/A,0,5.0,Positive,2,2
Zio Mario Cafe,5.0,Positive,2,,N/A,0,5.0,Positive,2,,N/A,0,5.0,Positive,2,2
THE ALAMO'S,5.0,Positive,9,5.0,Positive,2,4.9998,Positive,4,5.0,Positive,1,5.0,Positive,11,4
Leonard kinalas,5.0,Positive,2,,N/A,0,5.0,Positive,2,,N/A,0,5.0,Positive,2,2
Mannah Restaurant,5.0,Positive,1,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,1,2
Lakshmi food House,5.0,Positive,36,5.0,Positive,14,5.0,Positive,11,5.0,Positive,5,5.0,Positive,38,4
Kabana Cafe,5.0,Positive,6,5.0,Positive,1,5.0,Positive,4,5.0,Positive,3,5.0,Positive,8,4
ISUGBA Grill and Restaurant,5.0,Positive,2,5.0,Positive,1,,N/A,0,,N/A,0,5.0,Positive,2,2
Jurees Ann Beef Kinalas Bulalo,5.0,Positive,1,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,1,2
Kuya Dom's Lechon Manok - Bogtong Legazpi,5.0,Positive,1,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,1,2
"Happybean Cafe - Rawis, Legazpi City, Albay",5.0,Positive,1,5.0,Positive,2,5.0,Positive,2,,N/A,0,5.0,Positive,2,3
GinGineers Diner,5.0,Positive,1,5.0,Positive,1,,N/A,0,,N/A,0,5.0,Positive,1,2
"Eli’s Food Hub (Ate Rica’s Bacsilog, Master Siomai, KKPT)",5.0,Positive,1,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,1,1
EA Internet Cafe,5.0,Positive,1,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,1,2
Citii Cafee Coffee Shop,5.0,Positive,1,,N/A,0,4.9999,Positive,1,,N/A,0,5.0,Positive,1,2
Xpreso Café,4.9999,Positive,1,5.0,Positive,1,5.0,Positive,1,,N/A,0,5.0,Positive,1,3
lizzeat sa kanto,5.0,Positive,1,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,1,1
Start Cafe,5.0,Positive,4,5.0,Positive,2,5.0,Positive,3,5.0,Positive,2,5.0,Positive,8,4
Mi Pastil LCC Mall Legazpi,5.0,Positive,2,5.0,Positive,2,5.0,Positive,2,,N/A,0,5.0,Positive,3,3
Foodielux Cafe and Resto,4.9999,Positive,1,,N/A,0,,N/A,0,,N/A,0,4.9999,Positive,1,1
Grace Siomai Food Corner,4.9999,Positive,3,4.9999,Positive,3,4.9999,Positive,3,4.9999,Positive,2,4.9999,Positive,3,4
Haring Manok & Mexita,4.9999,Positive,1,4.9999,Positive,1,,N/A,0,4.9999,Positive,1,4.9999,Positive,1,3
R3A SUBWAY'STATION (Big buns craving albay),4.9999,Positive,1,,N/A,0,,N/A,0,,N/A,0,4.9999,Positive,1,1
Aly's Corner,5.0,Positive,5,4.9999,Positive,3,4.9999,Positive,3,4.9999,Positive,1,4.9999,Positive,7,4
P-4 Bar & Restaurant,4.9998,Positive,3,4.9999,Positive,3,5.0,Positive,3,5.0,Positive,1,4.9999,Positive,3,4
Criselda’s,4.9999,Positive,10,5.0,Positive,5,4.9999,Positive,9,4.9996,Positive,2,4.9998,Positive,12,4
Pepa Wings,5.0,Positive,11,4.9994,Positive,5,4.9999,Positive,4,4.9996,Positive,4,4.9997,Positive,14,4
Coffee capsules,4.9999,Positive,8,5.0,Positive,3,4.9999,Positive,4,4.9984,Positive,2,4.9996,Positive,9,4
FoodPals,4.9995,Positive,1,,N/A,0,,N/A,0,,N/A,0,4.9995,Positive,1,1
Coffee Spot,4.9999,Positive,19,4.9996,Positive,3,5.0,Positive,13,4.9986,Positive,7,4.9995,Positive,23,4
"The Crunch - Pacific Mall, Legazpi City",5.0,Positive,2,4.9987,Positive,1,,N/A,0,,N/A,0,4.9994,Positive,2,2
Pepper Lunch,5.0,Positive,6,4.9998,Positive,3,5.0,Positive,5,4.9944,Positive,3,4.9986,Positive,8,4
Sitti’s Kitchen,4.7863,Positive,10,4.9999,Positive,1,5.0,Positive,4,4.9999,Positive,3,4.9465,Positive,10,4
Better Batter Cafe,4.7761,Positive,22,5.0,Positive,12,5.0,Positive,14,4.9998,Positive,2,4.944,Positive,26,4
Snack N' Sip - Legazpi,4.75,Positive,8,5.0,Positive,1,4.9994,Positive,2,5.0,Positive,2,4.9374,Positive,8,4
Tambayan Cafe Lgp,4.7145,Positive,7,5.0,Positive,2,4.9995,Positive,5,4.9999,Positive,2,4.9285,Positive,10,4
AquaBean Cafe,4.9989,Positive,2,4.7483,Positive,2,4.9996,Positive,1,,N/A,0,4.9156,Positive,2,3
Your Brother Mayon Atv Tour,4.9999,Positive,12,4.9996,Positive,53,4.9999,Positive,26,4.6364,Positive,11,4.909,Positive,84,4
Rockport Café,4.7498,Positive,16,4.9998,Positive,7,4.8667,Positive,15,4.9999,Positive,1,4.904,Positive,23,4
BridgeWalk Brew Cafe,4.5555,Positive,9,5.0,Positive,3,5.0,Positive,3,5.0,Positive,2,4.8889,Positive,11,4
Seadog Diner,5.0,Positive,9,4.5555,Positive,4,4.9999,Positive,3,4.9998,Positive,3,4.8888,Positive,11,4
The Spice Rack Food House,5.0,Positive,25,4.4295,Positive,7,5.0,Positive,11,5.0,Positive,8,4.8574,Positive,29,4
Bec.,4.8261,Positive,23,4.9999,Positive,9,4.5999,Positive,15,5.0,Positive,4,4.8565,Positive,25,4
Kim's Bowl Food Garden,5.0,Positive,11,5.0,Positive,3,4.3333,Positive,6,5.0,Positive,2,4.8333,Positive,12,4
Kape Zebra,4.625,Positive,16,4.6001,Positive,10,5.0,Positive,10,5.0,Positive,2,4.8063,Positive,19,4
KANZO HALL & RESTAURANT,5.0,Positive,8,5.0,Positive,2,4.2,Positive,5,5.0,Positive,1,4.8,Positive,10,4
Greenday Matcha Cafe - Legazpi Centro,4.9999,Positive,7,5.0,Positive,1,4.2,Positive,5,4.8078,Positive,2,4.7519,Positive,10,4
Seoul Korean Restaurant,4.8947,Positive,38,4.9999,Positive,20,4.9129,Positive,23,4.1598,Positive,13,4.7418,Positive,43,4
Koki St. Lounge,4.7645,Positive,17,4.1995,Positive,10,5.0,Positive,11,4.9999,Positive,1,4.741,Positive,19,4
I Love Bamboo,5.0,Positive,14,4.3345,Positive,6,4.5556,Positive,9,5.0,Positive,4,4.7225,Positive,19,4
ALIBAR,5.0,Positive,19,4.5563,Positive,9,5.0,Positive,7,4.2,Positive,5,4.6891,Positive,23,4
Gerry's Restaurant & Bar,4.7209,Positive,43,4.6669,Positive,24,4.6923,Positive,13,4.6666,Positive,6,4.6867,Positive,56,4
JIAH Kitchen - SM Legazpi City,4.6199,Positive,58,4.619,Positive,21,4.9999,Positive,13,4.4994,Positive,8,4.6846,Positive,67,4
Alea Chocolates Café,4.9999,Positive,63,5.0,Positive,34,5.0,Positive,26,3.6667,Positive,6,4.6666,Positive,77,4
Layag Restaurant And Grill,5.0,Positive,7,5.0,Positive,2,3.5714,Positive,7,4.9998,Positive,1,4.6428,Positive,12,4
Brioche’s Café,4.5415,Positive,9,5.0,Positive,1,4.6588,Positive,6,4.3316,Positive,3,4.633,Positive,10,4
Little Light Cafe,4.5552,Positive,18,4.2,Positive,5,4.7499,Positive,16,4.9999,Positive,5,4.6263,Positive,23,4
Tong Yang,4.7368,Positive,38,4.7419,Positive,31,4.5385,Positive,26,4.4286,Positive,7,4.6114,Positive,65,4
Angel's Pizza,4.4942,Positive,12,3.8581,Positive,7,5.0,Positive,4,5.0,Positive,2,4.5881,Positive,19,4
Sunrise Sizzling House,4.7087,Positive,7,4.0,Positive,4,4.9998,Positive,4,,N/A,0,4.5695,Positive,9,3
Lofty Grounds Cafe,4.2167,Positive,12,4.6,Positive,5,4.4,Positive,10,5.0,Positive,1,4.5542,Positive,16,4
Ling Nam Legazpi,4.8749,Positive,16,4.0013,Positive,10,4.3332,Positive,6,5.0,Positive,4,4.5524,Positive,17,4
Mamay's,4.6251,Positive,48,4.5298,Positive,17,4.3686,Positive,19,4.5999,Positive,10,4.5308,Positive,57,4
Wasabi San,4.0384,Positive,2,,N/A,0,5.0,Positive,1,,N/A,0,4.5192,Positive,2,2
Casa Lorenzo Food and Culture,4.3846,Positive,13,4.3344,Positive,6,4.3332,Positive,12,4.9999,Positive,3,4.513,Positive,22,4
Palamigan Sagpon,4.0,Positive,18,4.3333,Positive,6,5.0,Positive,7,4.4972,Positive,4,4.4576,Positive,20,4
Cesar's,4.7094,Positive,59,4.2683,Positive,32,4.7058,Positive,34,4.1363,Positive,14,4.455,Positive,74,4
Zagitsit Resto Grill,4.0,Positive,4,3.6666,Positive,3,5.0,Positive,1,5.0,Positive,3,4.4166,Positive,5,4
ArmyNavy Burger + Burrito,3.8572,Positive,7,5.0,Positive,1,4.9974,Positive,2,3.6663,Positive,3,4.3802,Positive,7,4
Chachi's Kitchen,4.5442,Positive,22,3.8,Positive,5,4.6,Positive,10,4.57,Positive,5,4.3786,Positive,28,4
KIN Coffee,4.375,Positive,47,4.7141,Positive,14,4.75,Positive,32,3.6666,Positive,9,4.3764,Positive,52,4
Bee’s Coffee House,4.4999,Positive,24,3.8007,Positive,10,4.1665,Positive,12,4.9998,Positive,4,4.3667,Positive,28,4
Black Scoop Cafe,4.3337,Positive,27,3.6818,Positive,14,4.846,Positive,13,4.5999,Positive,5,4.3653,Positive,31,4
Family Kitchenette,4.2001,Positive,5,3.6668,Positive,3,4.5,Positive,4,5.0,Positive,2,4.3417,Positive,9,4
Mr. Kimbap Korean BBQ SM Legazpi Food Hall,4.3334,Positive,3,,N/A,0,,N/A,0,,N/A,0,4.3334,Positive,4,1
Robinsons Supermarket Albay,4.4814,Positive,27,4.0477,Positive,15,4.6663,Positive,18,4.111,Positive,9,4.3266,Positive,59,4
528 Ilawod Cafe,4.1171,Positive,18,5.0,Positive,2,4.714,Positive,7,3.3591,Neutral,5,4.2976,Positive,21,4
Takoyadon,4.4981,Positive,52,4.4283,Positive,28,3.9977,Positive,12,4.2,Positive,20,4.281,Positive,60,4
Uncle Ton's,4.4784,Positive,23,4.3433,Positive,6,4.3745,Positive,9,3.8029,Positive,5,4.2498,Positive,25,4
Hungry dandan,5.0,Positive,3,3.6668,Positive,3,4.0,Positive,2,,N/A,0,4.2223,Positive,6,3
Sibid-Sibid Food Park,4.4167,Positive,24,4.1111,Positive,9,4.4,Positive,20,3.8591,Positive,7,4.1967,Positive,33,4
Smoke 'n Grill,4.6363,Positive,11,3.7509,Positive,8,4.2,Positive,5,,N/A,0,4.1957,Positive,13,3
Small Talk Café,4.2133,Positive,61,4.1853,Positive,27,4.0351,Positive,44,4.3309,Positive,9,4.1912,Positive,76,4
Figaro Coffee,4.3535,Positive,20,3.7689,Positive,13,4.1766,Positive,17,4.4258,Positive,7,4.1812,Positive,29,4
Ribshack,3.9238,Positive,13,3.8293,Positive,7,4.3445,Positive,6,4.5999,Positive,5,4.1744,Positive,13,4
Lola Feling Restaurant Legazpi,4.257,Positive,27,4.2194,Positive,18,4.2408,Positive,21,3.7638,Positive,8,4.1203,Positive,30,4
Kouzina Tyche Seafood Restaurant,4.6001,Positive,5,3.6668,Positive,3,4.0004,Positive,2,,N/A,0,4.0891,Positive,7,3
DON- POLLO CHICKEN BIRYANI AND HUMMUS,4.3001,Positive,20,2.5999,Negative,5,4.9998,Positive,6,4.4284,Positive,7,4.082,Positive,22,4
ARL-LUTONG BICOL ATBP.,4.0527,Positive,19,4.9987,Positive,7,4.2727,Positive,11,2.9999,Neutral,8,4.081,Positive,25,4
Chef Lee,4.4871,Positive,39,3.5836,Positive,24,4.2173,Positive,23,4.0037,Positive,8,4.0729,Positive,48,4
Arang Resto Bar,4.4839,Positive,31,4.1426,Positive,14,4.5294,Positive,17,3.0,Neutral,2,4.039,Positive,35,4
Calle Taza Cafe,4.3931,Positive,23,4.4012,Positive,10,4.292,Positive,23,3.0002,Neutral,4,4.0216,Positive,31,4
Botejyu,4.4651,Positive,39,4.6002,Positive,35,4.2938,Positive,17,2.6309,Neutral,5,3.9975,Positive,56,4
CASA DE SIKATUNA Garden Restaurant,4.5294,Positive,17,3.8846,Positive,9,4.5555,Positive,9,3.0,Neutral,4,3.9924,Positive,21,4
Alulup Cafe & Restobar,4.2,Positive,5,3.0,Neutral,4,4.0,Positive,4,4.7632,Positive,3,3.9908,Positive,8,4
Graceland,4.2523,Positive,32,3.3336,Neutral,24,4.2306,Positive,13,4.1429,Positive,7,3.9899,Positive,44,4
1st Colonial Grill,4.5122,Positive,41,3.8318,Positive,24,4.2827,Positive,16,3.3314,Neutral,6,3.9895,Positive,51,4
Breakfast Republik,4.4266,Positive,65,3.9187,Positive,27,3.8272,Positive,31,3.7327,Positive,16,3.9763,Positive,70,4
Starbucks,3.7779,Positive,36,3.5457,Positive,22,4.2381,Positive,21,4.3321,Positive,3,3.9734,Positive,58,4
Kapihan,4.1228,Positive,41,3.7278,Positive,22,4.5004,Positive,28,3.5018,Positive,8,3.9632,Positive,57,4
"Gringo Chicken, Ribs & Friends",4.25,Positive,40,3.791,Positive,26,4.7334,Positive,15,2.9999,Neutral,6,3.9436,Positive,54,4
YANGMATT,3.7693,Positive,13,3.0,Neutral,6,4.3333,Positive,3,4.6653,Positive,3,3.942,Positive,18,4
Zoe's Kitchen,4.1579,Positive,38,3.689,Positive,23,4.0406,Positive,25,3.8586,Positive,7,3.9365,Positive,48,4
Mr. D's,5.0,Positive,9,1.0,Negative,1,4.7143,Positive,7,5.0,Positive,2,3.9286,Positive,11,4
Dampa Express-Legazpi,3.7271,Positive,11,2.3345,Negative,6,4.4285,Positive,7,4.9997,Positive,1,3.8724,Positive,15,4
Hap Chan,4.0,Positive,18,3.8008,Positive,10,3.5714,Positive,7,4.0,Positive,2,3.843,Positive,20,4
Assemblr Cafe,4.619,Positive,21,3.6722,Positive,9,4.5714,Positive,14,2.3854,Negative,3,3.812,Positive,25,4
LeSans Cafe,4.189,Positive,32,3.7276,Positive,22,3.3334,Neutral,18,3.9924,Positive,4,3.8106,Positive,38,4
C Front,3.9999,Positive,2,5.0,Positive,1,3.0001,Neutral,1,3.0004,Neutral,2,3.7501,Positive,2,4
Bigg's Diner,4.1657,Positive,67,3.4601,Neutral,44,3.8564,Positive,32,3.4345,Neutral,23,3.7292,Positive,90,4
Cres SNACK INN,4.443,Positive,18,4.6007,Positive,5,4.0,Positive,10,1.8002,Negative,5,3.711,Positive,21,4
Jollikod,4.1115,Positive,27,3.3636,Neutral,11,3.5455,Positive,11,3.7797,Positive,5,3.7001,Positive,32,4
New Wah Foo Chan,4.1111,Positive,9,3.6667,Positive,3,4.0,Positive,4,3.0002,Neutral,2,3.6945,Positive,11,4
Alcala's Mango Shake Station,3.0,Neutral,2,3.0,Neutral,2,5.0,Positive,1,,N/A,0,3.6667,Positive,2,3
SM Supermarket,4.1198,Positive,25,2.7338,Neutral,15,4.2308,Positive,13,3.5714,Positive,7,3.664,Positive,47,4
Spice-Up,3.7273,Positive,11,2.7153,Neutral,7,3.0,Neutral,2,5.0,Positive,2,3.6106,Positive,14,4
Legazpi Golden Dragon Restaurant,4.5,Positive,16,3.6678,Positive,6,3.8571,Positive,7,2.3339,Negative,3,3.5897,Positive,21,4
Ramenco,3.2857,Neutral,7,1.0,Negative,3,4.9999,Positive,1,4.9999,Positive,1,3.5714,Positive,8,4
Crispy King,4.9991,Positive,4,1.0002,Negative,1,3.0,Neutral,2,5.0,Positive,1,3.4998,Neutral,4,4
Kusina Zebra,3.5715,Positive,7,3.0003,Neutral,7,4.332,Positive,3,3.0,Neutral,5,3.476,Neutral,12,4
Casa Hermanas Legazpi,3.005,Neutral,8,2.3345,Negative,6,5.0,Positive,3,,N/A,0,3.4465,Neutral,9,3
Salu-Salo Restaurant,4.3333,Positive,3,3.0002,Neutral,2,3.0,Neutral,2,,N/A,0,3.4445,Neutral,5,3
Romantic Baboy,3.9524,Positive,21,3.1667,Neutral,12,3.6992,Positive,13,2.4285,Negative,7,3.3117,Neutral,28,4
Mang Inasal,4.021,Positive,47,3.3795,Neutral,31,3.2857,Neutral,21,2.5556,Negative,9,3.3104,Neutral,81,4
Chowking,3.9163,Positive,24,3.5334,Positive,15,3.9901,Positive,8,1.8,Negative,5,3.31,Neutral,29,4
Lugaw Republic Legazpi Boulevard,3.6,Positive,10,3.0001,Neutral,5,4.2001,Positive,5,2.3334,Negative,3,3.2834,Neutral,11,4
"But First, Coffee (BFC) - Legazpi",3.8928,Positive,9,4.9995,Positive,3,3.0901,Neutral,3,1.0083,Negative,1,3.2477,Neutral,10,4
Pares King,3.2183,Neutral,21,3.0001,Neutral,8,3.8,Positive,5,2.5001,Negative,8,3.1296,Neutral,24,4
Legazpi Four Seasons Restaurant,3.6307,Positive,42,2.5714,Negative,24,3.4727,Neutral,23,2.6,Neutral,10,3.0687,Neutral,50,4
Greenwich,3.6667,Positive,12,2.3335,Negative,6,3.4001,Neutral,5,2.723,Neutral,3,3.0308,Neutral,17,4
J.Co,4.3012,Positive,14,3.0007,Neutral,11,3.8001,Positive,5,1.0044,Negative,2,3.0266,Neutral,20,4
Caffeine Society,5.0,Positive,1,1.0068,Negative,1,,N/A,0,,N/A,0,3.0034,Neutral,2,2
Chill Site Tapsi & Pizza,3.0,Neutral,1,,N/A,0,,N/A,0,,N/A,0,3.0,Neutral,1,1
Brew Deck,3.0,Neutral,1,,N/A,0,,N/A,0,,N/A,0,3.0,Neutral,1,1
Jollibee,3.046,Neutral,89,2.3738,Negative,83,3.393,Neutral,35,2.0996,Negative,20,2.7281,Neutral,174,4
McDonald's,2.7727,Neutral,75,2.4239,Negative,70,3.3744,Neutral,32,2.2222,Negative,18,2.6983,Neutral,123,4
The Sandwich Guy,3.8571,Positive,7,1.0,Negative,1,1.0,Negative,1,3.9999,Positive,4,2.4642,Negative,7,4
7-Eleven,3.6668,Positive,3,2.3334,Negative,9,2.3333,Negative,3,1.0,Negative,3,2.3334,Negative,13,4
Marc. Ken-C Hilltop Cafe,3.0,Neutral,1,1.0,Negative,1,,N/A,0,,N/A,0,2.0,Negative,1,2
guerrero residence,3.0,Neutral,1,1.0,Negative,1,,N/A,0,,N/A,0,2.0,Negative,1,2
Mangan-Rawis,3.0,Neutral,2,1.0,Negative,1,,N/A,0,,N/A,0,2.0,Negative,3,2
Brew&Co. Legazpi,2.0007,Negative,2,1.0033,Negative,1,3.1156,Neutral,2,1.0012,Negative,1,1.7802,Negative,2,4
PapaTea at Silog,,N/A,0,,N/A,0,1.0,Negative,1,,N/A,0,1.0,Negative,1,1
Brewthers Cafe Legazpi,,N/A,0,,N/A,0,,N/A,0,,N/A,0,,N/A,1,0
Monster Wings Legazpi,,N/A,0,,N/A,0,,N/A,0,,N/A,0,,N/A,1,0
Ramiro's,,N/A,0,,N/A,0,,N/A,0,,N/A,0,,N/A,1,0
Rhose Kinalas,,N/A,0,,N/A,0,,N/A,0,,N/A,0,,N/A,1,0
